role,seed,physical_source,diagnosis,candidate_label,suite,maximum_gain_compensation,minimum_gain_remaining,estimated_severity,severity_uncertainty,expected_multiplier,applied_multiplier_mean,applied_multiplier_max_error,run_id,j_5s,predecision_hash,classification_evaluations,recovery_command_changed_steps,predecision_command_changed_steps,a1_incident_steps,saturation_steps,peak_contact_force_n,max_abs_gauge_microstrain
assessment,17102,actuator,no_action,reference,S,3.0,0.25,,0.0,1.0,1.0,0.0,actuator-recovery-assessment-17102-actuator-no_action-reference,1.0578128911746305,9b5e7337d9137de2b81b70bfa0bf6213776cf44aec8c2b9901c49edd01c60f9c,1,0,0,0,0,0.11755270068006483,3.5287995189325905
assessment,17102,healthy,C1,cap3_floor0p25,C1,3.0,0.25,0.2536472290062832,0.008584677993439312,3.0,3.0,4.440892098500626e-16,actuator-recovery-assessment-17102-healthy-C1-cap3_floor0p25,0.7896467267699013,2d9527ab0d4c9b61fc4b85e9e4b5cab7d3723e70b727e8ab0a70704bd4b7d4c0,1,1860,0,0,0,2.361514030697215,22.979475870874566
assessment,17102,healthy,S,cap3_floor0p25,S,3.0,0.25,0.267926957064059,0.010183117225236724,3.0,3.0,4.440892098500626e-16,actuator-recovery-assessment-17102-healthy-S-cap3_floor0p25,0.7896467267699013,2d9527ab0d4c9b61fc4b85e9e4b5cab7d3723e70b727e8ab0a70704bd4b7d4c0,1,1860,0,0,0,2.361514030697215,22.979475870874566
assessment,17102,healthy,oracle,cap3_floor0p25,S,3.0,0.25,0.25,0.0,3.0,3.0,4.440892098500626e-16,actuator-recovery-assessment-17102-healthy-oracle-cap3_floor0p25,0.7896467267699013,2d9527ab0d4c9b61fc4b85e9e4b5cab7d3723e70b727e8ab0a70704bd4b7d4c0,1,1860,0,0,0,2.361514030697215,22.979475870874566
assessment,17102,healthy,C1,cap5_floor0p20,C1,5.0,0.2,0.2536472290062832,0.008584677993439312,3.942483440161014,3.942483440161013,4.440892098500626e-16,actuator-recovery-assessment-17102-healthy-C1-cap5_floor0p20,0.7741860081662854,2d9527ab0d4c9b61fc4b85e9e4b5cab7d3723e70b727e8ab0a70704bd4b7d4c0,1,1864,0,197,0,2.3018603028772127,608.9799818891751
assessment,17102,healthy,S,cap5_floor0p20,S,5.0,0.2,0.267926957064059,0.010183117225236724,3.732360531982262,3.7323605319822613,4.440892098500626e-16,actuator-recovery-assessment-17102-healthy-S-cap5_floor0p20,0.7804900616172288,2d9527ab0d4c9b61fc4b85e9e4b5cab7d3723e70b727e8ab0a70704bd4b7d4c0,1,1864,0,0,0,2.117026578520251,25.957468956343543
assessment,17102,healthy,C1,cap5_floor0p25,C1,5.0,0.25,0.2536472290062832,0.008584677993439312,3.942483440161014,3.942483440161013,4.440892098500626e-16,actuator-recovery-assessment-17102-healthy-C1-cap5_floor0p25,0.7741860081662854,2d9527ab0d4c9b61fc4b85e9e4b5cab7d3723e70b727e8ab0a70704bd4b7d4c0,1,1864,0,197,0,2.3018603028772127,608.9799818891751
assessment,17102,healthy,S,cap5_floor0p25,S,5.0,0.25,0.267926957064059,0.010183117225236724,3.732360531982262,3.7323605319822613,4.440892098500626e-16,actuator-recovery-assessment-17102-healthy-S-cap5_floor0p25,0.7804900616172288,2d9527ab0d4c9b61fc4b85e9e4b5cab7d3723e70b727e8ab0a70704bd4b7d4c0,1,1864,0,0,0,2.117026578520251,25.957468956343543
assessment,17102,healthy,no_action,reference,S,3.0,0.25,,0.0,1.0,1.0,0.0,actuator-recovery-assessment-17102-healthy-no_action-reference,0.8581249559201852,2d9527ab0d4c9b61fc4b85e9e4b5cab7d3723e70b727e8ab0a70704bd4b7d4c0,1,0,0,0,0,2.0732809937160144,19.004971240121904
assessment,17103,actuator,C1,cap3_floor0p25,C1,3.0,0.25,0.25393550352593497,0.008584677993439312,3.0,3.0,4.440892098500626e-16,actuator-recovery-assessment-17103-actuator-C1-cap3_floor0p25,0.8837348754502166,8a5152299d2dc424f7777e13cd9cd99bc1d7e773c92897825749c4ce4cc94d39,1,1864,0,0,0,1.1530356506115593,10.900552322326007
assessment,17103,actuator,S,cap3_floor0p25,S,3.0,0.25,0.25723358016105213,0.010183117225236724,3.0,3.0,4.440892098500626e-16,actuator-recovery-assessment-17103-actuator-S-cap3_floor0p25,0.8837348754502166,8a5152299d2dc424f7777e13cd9cd99bc1d7e773c92897825749c4ce4cc94d39,1,1864,0,0,0,1.1530356506115593,10.900552322326007
