task_torque_scale,peak_load_n,onset_offset_steps,onset_index,suite,window,stride,decision_lag_steps,safety_screen_pass,sync_vector_nonzero,detect_threshold,false_alarm_rate,minimum_fault_detection_rate,structure_detection_rate,actuator_detection_rate,sensor_detection_rate,macro_attribution_accuracy,structure_attribution_accuracy,actuator_attribution_accuracy,sensor_attribution_accuracy
0.4,0.05,0,500,C1,512,4,0,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.4,0.05,0,500,C1,512,8,4,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.4,0.05,0,500,C1,512,16,12,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.4,0.05,0,500,C1,640,4,0,True,True,2.0266571817264594,0.08333333333333333,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
0.4,0.05,0,500,C1,640,8,4,True,True,2.075941139059326,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0,1.0,1.0,1.0,1.0,1.0
0.4,0.05,0,500,C1,640,16,12,True,True,1.997124568937194,0.08333333333333333,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.4,0.05,0,500,C1,768,4,0,True,True,1.8537000495911098,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.4,0.05,0,500,C1,768,8,4,True,True,1.9422466867678043,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.4,0.05,0,500,C1,768,16,12,True,True,2.302292247441581,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.4,0.05,0,500,S,512,4,0,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.4,0.05,0,500,S,512,8,4,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.4,0.05,0,500,S,512,16,12,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.4,0.05,0,500,S,640,4,0,True,True,1.9098226336319117,0.08333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.4,0.05,0,500,S,640,8,4,True,True,1.9483388537948072,0.08333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.4,0.05,0,500,S,640,16,12,True,True,1.891958519322339,0.08333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.4,0.05,0,500,S,768,4,0,True,True,1.8928018788484733,0.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
0.4,0.05,0,500,S,768,8,4,True,True,1.9539718416142078,0.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
0.4,0.05,0,500,S,768,16,12,True,True,2.2254058988298695,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.4,0.05,5,505,C1,512,4,3,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.4,0.05,5,505,C1,512,8,7,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.4,0.05,5,505,C1,512,16,7,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
