role,case_id,source_class,subtype,location,severity,severity_semantics,sensor_seed,pair_id,classification_evaluations,recovery_command_changed_steps,recovery_changed_before_decision,tracking_integral_5s_m_s,safety_incident_steps,saturation_steps,contact_episode_count,contact_active_steps,peak_contact_force_n,max_abs_joint_0_rad,max_abs_joint_1_rad,max_abs_joint_speed_0_rad_s,max_abs_joint_speed_1_rad_s,max_abs_gauge_microstrain,pre_fault_hash,flag_steps_joint_angle_0_exceeded,flag_steps_joint_angle_1_exceeded,flag_steps_joint_speed_0_exceeded,flag_steps_joint_speed_1_exceeded,flag_steps_tip_workspace_exceeded,flag_steps_gauge_abs_exceeded,flag_steps_tip_contact_force_exceeded
tuning,structure_ei_remaining_0p75,structure,link_stiffness_loss,1,0.75,remaining link-2 EI fraction; lower is more severe,16001,fault-deficit-tuning-16001,1,0,False,0.8608464719385875,0,0,1,24,2.051354590036424,0.2736247973163315,0.2907056290957053,0.5792081986506492,1.2698502185151117,25.710141268433517,4f0f81be21ecc271778732bc72779917be4c1fc25d37fbc7b70f06e8972661f9,0,0,0,0,0,0,0
tuning,actuator_gain_remaining_0p10,actuator,actuator_gain_loss,1,0.1,remaining joint-1 delivered-gain fraction; lower is more severe,16002,fault-deficit-tuning-16002,1,0,False,1.4228132197324888,0,0,1,24,1.499012169334252,0.1702397863957028,1.0407557527389155,0.3839035124284518,1.6664679101932034,20.868032980843054,551f52cf05b2d6f573678bd43f021edf9bfc7c9604bd281a7444222031801072,0,0,0,0,0,0,0
tuning,actuator_gain_remaining_0p25,actuator,actuator_gain_loss,1,0.25,remaining joint-1 delivered-gain fraction; lower is more severe,16002,fault-deficit-tuning-16002,1,0,False,1.0588966937197932,0,0,1,21,0.08662197564814023,0.2078862124516303,0.6327693837451069,0.39679047609286755,1.45947627542653,3.5690521030873334,551f52cf05b2d6f573678bd43f021edf9bfc7c9604bd281a7444222031801072,0,0,0,0,0,0,0
tuning,actuator_gain_remaining_0p50,actuator,actuator_gain_loss,1,0.5,remaining joint-1 delivered-gain fraction; lower is more severe,16002,fault-deficit-tuning-16002,1,0,False,0.9736141543261521,0,0,1,25,1.5714020252661614,0.25090609780884554,0.44783524331214775,0.5543827782827915,1.6337275731079792,15.181427584929352,551f52cf05b2d6f573678bd43f021edf9bfc7c9604bd281a7444222031801072,0,0,0,0,0,0,0
tuning,actuator_gain_remaining_0p70,actuator,actuator_gain_loss,1,0.7,remaining joint-1 delivered-gain fraction; lower is more severe,16002,fault-deficit-tuning-16002,1,0,False,0.9134768209919757,0,0,1,24,1.8879006346226412,0.26761371127128264,0.3611031657298467,0.5734961593617527,1.5406823816062065,17.129683775776172,551f52cf05b2d6f573678bd43f021edf9bfc7c9604bd281a7444222031801072,0,0,0,0,0,0,0
tuning,actuator_gain_remaining_0p85,actuator,actuator_gain_loss,1,0.85,remaining joint-1 delivered-gain fraction; lower is more severe,16002,fault-deficit-tuning-16002,1,0,False,0.8829818958508874,0,0,1,24,2.02505116720434,0.2716985760219486,0.31492476601348685,0.588448940627595,1.3949197856855111,18.29484213975441,551f52cf05b2d6f573678bd43f021edf9bfc7c9604bd281a7444222031801072,0,0,0,0,0,0,0
tuning,healthy_reference,healthy,none,-1,1.0,no fault; remaining fraction reference,16002,fault-deficit-tuning-16002,1,0,False,0.8595701582088486,0,0,1,24,2.091064495190379,0.27239719695857767,0.29045195161281345,0.5852600899032279,1.3064068203361145,19.17363704618147,551f52cf05b2d6f573678bd43f021edf9bfc7c9604bd281a7444222031801072,0,0,0,0,0,0,0
tuning,sensor_encoder_bias_0p05,sensor,encoder_bias,0,0.05,encoder bias in radians; physical plant remains healthy,16002,fault-deficit-tuning-16002,1,0,False,0.9951028548611109,0,0,1,21,1.5936652733799015,0.2842923181836996,0.29790214244194724,0.5576495339483234,1.3305207426475008,19.012259430165972,551f52cf05b2d6f573678bd43f021edf9bfc7c9604bd281a7444222031801072,0,0,0,0,0,0,0
tuning,structure_ei_remaining_0p05,structure,link_stiffness_loss,1,0.05,remaining link-2 EI fraction; lower is more severe,16002,fault-deficit-tuning-16002,1,0,False,0.8169298308467621,0,0,1,24,1.5294402263478997,0.2607980853623264,0.2920244645455643,0.5792320985080757,1.2963993351260417,259.3786728996861,551f52cf05b2d6f573678bd43f021edf9bfc7c9604bd281a7444222031801072,0,0,0,0,0,0,0
tuning,structure_ei_remaining_0p10,structure,link_stiffness_loss,1,0.1,remaining link-2 EI fraction; lower is more severe,16002,fault-deficit-tuning-16002,1,0,False,0.8411137021182686,0,0,1,21,1.728287730817897,0.2691623733844737,0.2909209721110382,0.5682716837338564,1.3106301614302929,153.19015628399768,551f52cf05b2d6f573678bd43f021edf9bfc7c9604bd281a7444222031801072,0,0,0,0,0,0,0
tuning,structure_ei_remaining_0p25,structure,link_stiffness_loss,1,0.25,remaining link-2 EI fraction; lower is more severe,16002,fault-deficit-tuning-16002,1,0,False,0.8524417205585713,0,0,1,22,1.988688721107662,0.2727990375727849,0.2904764279322043,0.5699954584701405,1.2708050833147855,73.04078325049979,551f52cf05b2d6f573678bd43f021edf9bfc7c9604bd281a7444222031801072,0,0,0,0,0,0,0
tuning,structure_ei_remaining_0p50,structure,link_stiffness_loss,1,0.5,remaining link-2 EI fraction; lower is more severe,16002,fault-deficit-tuning-16002,1,0,False,0.8608161611159462,0,0,1,23,2.0722994139943838,0.2743165182928706,0.2902399778243394,0.5782205415461039,1.27652939063716,37.76050479800119,551f52cf05b2d6f573678bd43f021edf9bfc7c9604bd281a7444222031801072,0,0,0,0,0,0,0
tuning,structure_ei_remaining_0p75,structure,link_stiffness_loss,1,0.75,remaining link-2 EI fraction; lower is more severe,16002,fault-deficit-tuning-16002,1,0,False,0.8601027869426212,0,0,1,24,2.1018421402872898,0.27328581183655265,0.29025466331362626,0.5769626475364831,1.3040515478122128,25.27906339497399,551f52cf05b2d6f573678bd43f021edf9bfc7c9604bd281a7444222031801072,0,0,0,0,0,0,0
