plane_z_m,source,suite,sensor_fault_is_observation_side,n_steps,first_decision_step,first_decision_time_s,classification_evaluations,held_post_decision_source,recovery_changed_steps,recovery_changed_before_decision,first_recovery_change_time_s,recovery_precedes_contact,contact_active_steps,contact_active_fraction,contact_episode_count,first_contact_time_s,last_contact_time_s,peak_contact_force_n,contact_impulse_n_s,max_abs_joint_0_rad,max_abs_joint_1_rad,max_abs_joint_speed_0_rad_s,max_abs_joint_speed_1_rad_s,max_abs_gauge_microstrain,safety_incident_steps,any_safety_flag,bounded_profile_gate_pass,flag_steps_joint_angle_0_exceeded,flag_steps_joint_angle_1_exceeded,flag_steps_joint_speed_0_exceeded,flag_steps_joint_speed_1_exceeded,flag_steps_tip_workspace_exceeded,flag_steps_gauge_abs_exceeded,flag_steps_tip_contact_force_exceeded
0.15,sensor,C1,True,3000,1136,2.2720000000000002,1,sensor,0,False,,True,0,0.0,0,,,0.0,0.0,0.34188705615104276,0.2965601855568387,0.5544249452789085,1.3085364768996577,21.365156923412997,0,False,False,0,0,0,0,0,0,0
0.15,structure,C1,False,3000,1136,2.2720000000000002,1,structure,1864,False,2.2720000000000002,False,0,0.0,0,,,0.0,0.0,0.32760685796457256,0.2768085067491364,0.5787491872588646,1.331665748384836,4.75074469055814,0,False,False,0,0,0,0,0,0,0
0.175,actuator,C1,False,3000,1136,2.2720000000000002,1,actuator,1864,False,2.2720000000000002,True,23,0.007666666666666666,1,4.750000000002268,4.794000000002166,1.7269203629282281,0.030145167472691407,0.3047418557061361,0.3607378669410397,0.592458101171145,1.5342965346349935,13.85878028119514,0,False,True,0,0,0,0,0,0,0
0.175,healthy,C1,False,3000,1136,2.2720000000000002,1,healthy,0,False,,True,24,0.008,1,4.724000000002329,4.770000000002222,1.9628857020617618,0.03290034121037652,0.3028044512940373,0.2916249218939524,0.593371004942389,1.2875938813712295,16.959892781969188,0,False,True,0,0,0,0,0,0,0
0.175,sensor,C1,True,3000,1136,2.2720000000000002,1,sensor,0,False,,True,21,0.007,1,5.0340000000016065,5.074000000001513,0.7964156785639505,0.013955732543855483,0.3252658212035118,0.2986434598233494,0.569026690724117,1.3736494927054643,19.21757012936445,0,False,True,0,0,0,0,0,0,0
0.175,structure,C1,False,3000,1136,2.2720000000000002,1,structure,1864,False,2.2720000000000002,False,0,0.0,0,,,0.0,0.0,0.3280910415804197,0.27650376411921984,0.5760498739659781,1.3604433046492392,4.242964639908919,0,False,False,0,0,0,0,0,0,0
0.2,actuator,C1,False,3000,1136,2.2720000000000002,1,actuator,1863,False,2.2720000000000002,True,24,0.008,1,4.636000000002534,4.682000000002427,1.9456620491418706,0.03197175453412634,0.2743895462593593,0.3600512508091036,0.5802087069115558,1.5639768264783527,17.52459358537628,0,False,True,0,0,0,0,0,0,0
0.2,healthy,C1,False,3000,1136,2.2720000000000002,1,healthy,0,False,,True,24,0.008,1,4.618000000002576,4.664000000002469,2.1247070745789687,0.03306103472447668,0.273329614972488,0.289532458368555,0.5753568805597631,1.286534816925755,19.625863391539156,0,False,True,0,0,0,0,0,0,0
0.2,sensor,C1,True,3000,1136,2.2720000000000002,1,sensor,0,False,,True,21,0.007,1,4.856000000002021,4.896000000001928,1.5852531149834073,0.02451247048126912,0.2844525067805903,0.29743579291761346,0.547834876552189,1.3323474003668068,20.447409006416457,0,False,True,0,0,0,0,0,0,0
0.2,structure,C1,False,3000,1136,2.2720000000000002,1,structure,1864,False,2.2720000000000002,True,21,0.007,1,5.154000000001327,5.194000000001234,0.4756190219567088,0.00817121630539806,0.3197959561936634,0.2769050124786907,0.5678193012572663,1.2748284426453704,8.80346458887793,0,False,True,0,0,0,0,0,0,0
