seed,label,faulted,commanded_severity,severity_uncertainty,run_id,j_5s,applied_multiplier_max,classification_evaluations,recovery_command_changed_steps,a1_incident_steps,saturation_steps,peak_contact_force_n,max_abs_gauge_microstrain
17100,multiplier_1.85,True,0.5405405405405405,0.0,boundary-multiplier_1.85-17100-S,0.8767657548465172,1.8500000000000005,1,1864,0,0,1.7825514405553524,15.850398206076477
17101,multiplier_1.85,True,0.5405405405405405,0.0,boundary-multiplier_1.85-17101-S,0.8772187033254175,1.8500000000000005,1,1863,0,0,1.7641749585524553,15.975262436089823
17102,multiplier_1.85,True,0.5405405405405405,0.0,boundary-multiplier_1.85-17102-S,0.8760367869103721,1.8500000000000005,1,1864,0,0,1.7990542740396704,16.1102053739981
17103,multiplier_1.85,True,0.5405405405405405,0.0,boundary-multiplier_1.85-17103-S,0.8773962240068172,1.8500000000000005,1,1864,0,0,1.7873208917923222,15.807190926713234
17100,multiplier_1.93,True,0.5181347150259068,0.0,boundary-multiplier_1.93-17100-S,0.8714294734665304,1.93,1,1864,0,0,1.8381314181060504,15.098782434632696
17101,multiplier_1.93,True,0.5181347150259068,0.0,boundary-multiplier_1.93-17101-S,0.8724286361969842,1.93,1,1864,0,0,1.8227632871168453,16.226558990837248
17102,multiplier_1.93,True,0.5181347150259068,0.0,boundary-multiplier_1.93-17102-S,0.8711913352254206,1.93,1,1864,0,0,1.8064255120034893,16.058027939269692
17103,multiplier_1.93,True,0.5181347150259068,0.0,boundary-multiplier_1.93-17103-S,0.8723344749893008,1.93,1,1864,0,0,1.778540799493225,16.24064057166308
17100,multiplier_1.97,True,0.5076142131979695,0.0,boundary-multiplier_1.97-17100-S,0.8698138515553211,1.9700000000000004,1,1863,0,0,1.839831835744719,16.976984271366295
17101,multiplier_1.97,True,0.5076142131979695,0.0,boundary-multiplier_1.97-17101-S,0.8710718541516909,1.9700000000000004,1,1863,0,0,1.7530661560575216,15.452943253144724
17102,multiplier_1.97,True,0.5076142131979695,0.0,boundary-multiplier_1.97-17102-S,0.8683807941328328,1.9700000000000004,1,1864,0,0,1.7704447921173845,15.704663832734056
17103,multiplier_1.97,True,0.5076142131979695,0.0,boundary-multiplier_1.97-17103-S,0.8698811495352594,1.9700000000000004,1,1864,0,0,1.8274908413618445,17.00410620617987
17100,no_action,True,,0.0,boundary-no_action-17100-S,0.9724601416275627,1.0,1,0,0,0,1.5437767562079485,14.660239087298521
17101,no_action,True,,0.0,boundary-no_action-17101-S,0.9733353904501844,1.0,1,0,0,0,1.5298373785368766,15.044805911967885
17102,no_action,True,,0.0,boundary-no_action-17102-S,0.9725590254442449,1.0,1,0,0,0,1.5570835622258132,15.437452516398052
17103,no_action,True,,0.0,boundary-no_action-17103-S,0.9725239708290501,1.0,1,0,0,0,1.543220206522244,15.461528451119479
17100,oracle,True,0.5,0.0,boundary-oracle-17100-S,0.8666803760302535,2.0,1,1862,0,0,1.7818667317139045,15.82512007482606
17101,oracle,True,0.5,0.0,boundary-oracle-17101-S,0.8685788717515429,2.0,1,1864,0,0,1.8003151166902898,16.060420046732915
17102,oracle,True,0.5,0.0,boundary-oracle-17102-S,0.8664989589408829,2.0,1,1863,0,0,1.7526637422281155,15.487388793022916
17103,oracle,True,0.5,0.0,boundary-oracle-17103-S,0.8685438688069189,2.0,1,1863,0,0,1.816379797708647,15.981010521217698
